ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope,Coperto da DT,Motivazione,Stima a finire,Stime economica,Nostre note,In/Out,Scadenza CRA,Fase Roadmap,Note,Stima (gg),Costo stimato (€),Stima,Elapsed 2 FTE (gg lav.),Livello di rischio,Seniority richiesta,Tipo componente,Integrazioni esterne,Prerequisiti principali
15,M2,Gestione SBOM,Acquisizione SBOM,Import SBOM da file CycloneDX (formato primario),Basic,Basic,Sì,DT accetta SBOM CycloneDX nativa via API REST e UI; è il formato primario della piattaforma. Integrazione zero-effort dopo il setup delle task DT 115-120,0,#VALUE!,,In,Sett 2026,0,"Formato preferito per security use case; import con audit trail (operatore, timestamp, hash file originale)",10,€ 4.500,"4.310,00 €",5,Medio,Mid,Backend,CycloneDX parser,—
16,M2,Gestione SBOM,Acquisizione SBOM,Inserimento manuale componenti con form strutturato,Basic,Basic,Parziale,"DT ha form per aggiungere componenti singoli ma non un workflow guidato per inserimento manuale industriale: mancano campi obbligatori custom, validazione PURL stricta e note di contesto OT. Serve UI proprietaria",5,#VALUE!,,In,Sett 2026,0,Necessario per componenti hardware e firmware non rilevabili automaticamente da scanner,8,€ 3.600,"3.448,00 €",4,Basso,Junior/Mid,Full-stack,,—
17,M2,Gestione SBOM,Acquisizione SBOM,Modalità ibrida: import scanner + delta manuale (ogni modifica tracciata come delta separato),Basic,Basic,Parziale,DT non ha il concetto di 'modalità ibrida'; la combinazione import scanner + delta manuale tracciato deve essere orchestrata dal backend proprietario come state machine separata,8,#VALUE!,Forse stima bassa,out,Sett 2026,0,Modalità più comune in pratica; ogni modifica su componente scanner-rilevato è tracciata separatamente,12,€ 5.400,"6.465,00 €",6,Medio,Mid/Senior,Full-stack,,Import CycloneDX; Inserimento manuale
18,M2,Gestione SBOM,Acquisizione SBOM,Import SBOM da file SPDX,Nice-to-have,Nice-to-have,Sì,DT supporta SPDX in import via conversione interna; l'output rimane CycloneDX. Integrazione coperta dalle task DT 115-120,0,#VALUE!,,out,N/A,2,Interoperabilità con tool terzi che producono SPDX; standard ISO/IEC 5962:2021,8,€ 3.600,"3.448,00 €",4,Medio,Mid,Backend,SPDX parser,—
19,M2,Gestione SBOM,Acquisizione SBOM,"Validazione formato in ingresso (PURL, range di versione)",Basic,Basic,Sì,"DT valida il formato CycloneDX in ingresso (JSON/XML schema) e verifica la presenza di PURL. Coperto dal layer di ingestione DT, integrazione inclusa nelle task DT 115-120",0,#VALUE!,Da approfondire,In,Sett 2026,0,Qualità del dato alla fonte; riduce errori a monte nel matching CVE,5,€ 2.250,"5.172,00 €",3,Medio,Mid,Backend,,Import CycloneDX
20,M2,Gestione SBOM,Acquisizione SBOM,PURL e/o CPE obbligatori per tutti i componenti,Must-have,Must-have,Parziale,DT usa PURL e CPE dove presenti ma non li rende obbligatori di default; la validazione obbligatoria va applicata nel layer di ingestione proprietario prima del push a DT,2,#VALUE!,,out,Sett 2026,0,Prerequisito per matching accurato con CVE; identificatori strutturati riducono falsi positivi,5,€ 2.250,"2.155,00 €",3,Medio,Mid,Backend,,Validazione formato
21,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Versioning automatico SBOM a ogni modifica (major/minor/patch),Must-have,Must-have,Parziale,DT gestisce project versions ma la numerazione è manuale; il versionamento semantico automatico (major.minor.patch) a ogni modifica SBOM va implementato nel backend come logica di gestione versione,5,#VALUE!,,out,Sett 2026,0,CRA richiede tracciabilità delle versioni nel tempo per tutta la durata del prodotto,10,€ 4.500,"3.448,00 €",5,Medio,Mid/Senior,Backend,,Import CycloneDX; Inserimento manuale
22,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Freeze SBOM per versioni di prodotto rilasciate (immutabilità con annotazione),Must-have,Must-have,No,DT non ha meccanismo di freeze/immutabilità formale per versioni rilasciate: le SBOM rimangono modificabili. Serve logica custom di lock + audit su operazioni post-freeze,8,#VALUE!,,out,Sett 2026,0,Prova di conformità per versione già sul mercato; la SBOM rilasciata non può essere retroattivamente modificata,8,€ 3.600,"2.155,00 €",4,Medio,Mid/Senior,Backend,,Versioning SBOM
23,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Diff tra versioni SBOM (componenti aggiunti/rimossi/aggiornati),Enterprise,Dubbio,No,DT non ha funzione di diff nativa tra versioni SBOM; va implementata interrogando le due versioni via API DT e calcolando il delta lato backend (componenti aggiunti/rimossi/aggiornati),12,#VALUE!,,out,N/A,2,Alta utilità per release management e valutazione impatto upgrade di un componente,12,€ 5.400,"6.465,00 €",6,Medio,Mid,Full-stack,,Versioning SBOM
24,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Libreria componenti condivisa cross-prodotto,Enterprise,Enterprise,Sì,"DT ha una component library centralizzata: un componente condiviso tra più progetti riceve la stessa analisi di vulnerabilità automaticamente, senza sviluppo aggiuntivo",0,#VALUE!,,In,N/A,2,Propagazione automatica impatto CVE su tutti i prodotti che condividono un componente,15,€ 6.750,"4.310,00 €",8,Alto,Senior,Backend,,Versioning SBOM; M3 Repository normalizzato
25,M2,Gestione SBOM,Architettura SBOM Tri-Livello,Build-time: integrazione CI/CD per generazione SBOM automatica a ogni build (Syft/Trivy),Enterprise,Dubbio,Parziale,"DT espone API REST per il push delle SBOM generate da Syft/Trivy; il trigger nel pipeline CI/CD (script, plugin runner, configurazione autenticazione) è sviluppo custom esterno a DT",8,#VALUE!,Mi limiterei a dire importa SBOM per simula impatti (quindi una SBOM su cui disattivato ogni alert),In,N/A,2,"Riduce lavoro manuale e aumenta affidabilità del dato; SBOM generata in pipeline, non a mano",15,€ 6.750,"3.448,00 €",8,Alto,Senior,Integration,GitLab CI / GitHub Actions; Syft; Trivy,Import CycloneDX
26,M2,Gestione SBOM,Architettura SBOM Tri-Livello,Deploy-time: raccolta SBOM al momento dell'installazione o collaudo del macchinario,Enterprise,Dubbio,No,"DT non gestisce eventi di deploy; il meccanismo di raccolta SBOM al momento dell'installazione in campo (agente, script collaudo) è sviluppo completamente custom",20,#VALUE!,Da capire,In,N/A,2,Cattura divergenze tra software 'distribuito' e 'effettivamente installato' in campo,20,€ 9.000,"5.172,00 €",10,Alto,Senior,Backend,API o script di campo,Import CycloneDX; Installed base
27,M2,Gestione SBOM,Architettura SBOM Tri-Livello,Run-time: agent/script periodici su macchinario per verifica continua della composizione,Nice-to-have,Nice-to-have,No,"DT non ha agent OT; il runtime agent su macchinario embedded con vincoli di sicurezza, modalità read-only e finestre di esecuzione controllate è sviluppo completamente custom",25,#VALUE!,,out,N/A,2,"Richiede misure OT specifiche: modalità read-only, finestre di esecuzione controllate, firma crittografica agent, approvazione per famiglia macchina",25,€ 11.250,"3.448,00 €",13,Alto,Senior,Infrastructure,Agent OT; firma crittografica,Deploy-time SBOM
28,M2,Gestione SBOM,VEX e Qualità del Dato,Supporto VEX: stati not_affected / affected / fixed / under_investigation,Must-have,Must-have,Sì,"DT gestisce gli stati VEX (not_affected/affected/fixed/under_investigation) su ogni componente vulnerabile, in formato CycloneDX nativo. Coperto dalle task DT 115-120",0,#VALUE!,,In,Sett 2026,1,Riduce falsi positivi; documenta decisioni di triage; richiesto per assessment CRA,15,€ 6.750,"2.155,00 €",8,Alto,Senior,Backend,CycloneDX VEX spec,PURL/CPE obbligatori; M3 Repository normalizzato
29,M2,Gestione SBOM,VEX e Qualità del Dato,Workflow VEX con giustificazione obbligatoria per stato 'not_affected',Must-have,Must-have,Parziale,DT ha gli stati VEX ma non impone giustificazione obbligatoria per 'not_affected' né un workflow approvativo; il campo motivazione obbligatorio e il workflow vanno aggiunti nel layer applicativo,5,#VALUE!,,In,Sett 2026,1,La giustificazione documentata è l'evidenza normativa che l'autorità di valutazione richiede,8,€ 3.600,"2.155,00 €",4,Medio,Mid/Senior,Full-stack,,Supporto VEX stati
30,M2,Gestione SBOM,VEX e Qualità del Dato,Export VEX integrato nel CycloneDX output,Must-have,Must-have,Sì,DT include i dati VEX nell'export CycloneDX nativo. Coperto dalle task DT 115-120,0,#VALUE!,,In,Sett 2026,1,Il VEX deve essere parte della SBOM ufficiale del prodotto distribuita ai clienti,5,€ 2.250,"4.310,00 €",3,Medio,Mid,Backend,CycloneDX export,Supporto VEX stati
31,M2,Gestione SBOM,VEX e Qualità del Dato,Supporto componenti hardware in SBOM (proto-HBOM),Nice-to-have,Nice-to-have,Parziale,"DT importa componenti hardware da CycloneDX 1.4+ ma non ha UI dedicata né gestione avanzata HBOM (visualizzazione, ricerca, reporting); il supporto UI e la gestione specifica HBOM sono custom",10,#VALUE!,,In,N/A,2,ENISA sta sviluppando gli standard HBOM; naturale evoluzione per macchinari con componenti elettronici complessi,15,€ 6.750,"3.448,00 €",8,Alto,Senior,Backend,CycloneDX hardware extensions,Import CycloneDX
32,M2,Gestione SBOM,VEX e Qualità del Dato,Export SBOM CycloneDX firmato (Sigstore/cosign),Nice-to-have,Nice-to-have,No,DT non firma le SBOM in output; la firma crittografica tramite Sigstore/cosign è un processo esterno post-export da implementare custom,10,#VALUE!,,out,N/A,2,Autenticità verificabile per clienti enterprise e per i processi di audit formale,10,€ 4.500,"5.172,00 €",5,Alto,Senior,Infrastructure,Sigstore; cosign,Export VEX CycloneDX
33,M3,Vulnerability Intelligence Feed,Fonti Integrate,NVD (NIST) — CVE API 2.0,Must-have,Must-have,Sì,DT integra NVD tramite CVE API 2.0 nativamente con aggiornamento automatico. Coperto dalla task DT 116 (configurazione feed),0,#VALUE!,,In,Sett 2026,0,"Base generale per CVE, CVSS, CPE. Nota 2024: NIST ha sospeso arricchimento temporaneo; CISA Vulnrichment colma il gap",10,€ 4.500,"6.465,00 €",5,Medio,Mid,Integration,NVD API 2.0 (nvd.nist.gov),Repository normalizzato
34,M3,Vulnerability Intelligence Feed,Fonti Integrate,OSV.dev (Google) — vulnerabilità open source,Must-have,Must-have,Sì,DT integra OSV.dev nativamente; matching per PURL (package + versione) preciso per ecosistemi FOSS. Coperto dalla task DT 116,0,#VALUE!,,out,Sett 2026,0,"Ottimale per ecosistemi open source; query per package, versione o commit hash; più preciso di NVD per FOSS",8,€ 3.600,"6.465,00 €",4,Medio,Mid,Integration,OSV API (osv.dev),Repository normalizzato
35,M3,Vulnerability Intelligence Feed,Fonti Integrate,CISA KEV (Known Exploited Vulnerabilities),Must-have,Must-have,Sì,DT integra il catalogo CISA KEV nativamente (DT v4+); ogni CVE KEV è flaggata automaticamente nei progetti. Coperto dalla task DT 116,0,#VALUE!,,out,Sett 2026,0,Trigger primario per obbligo notifica 24h Art. 14 CRA; distingue vulnerabilità teoriche da attivamente sfruttate,5,€ 2.250,"8.620,00 €",3,Medio,Mid,Integration,CISA KEV feed (cisa.gov),Repository normalizzato
36,M3,Vulnerability Intelligence Feed,Fonti Integrate,CISA ICS-CERT Advisories (sistemi di controllo industriale OT/SCADA/PLC/HMI),Enterprise,Dubbio,No,"DT non ha integrazione con CISA ICS-CERT Advisories; questi advisory specifici per OT/ICS/SCADA (PLC, HMI, SCADA vendor) devono essere sviluppati e normalizzati custom nel repository interno",15,#VALUE!,Penso serva a loro,out,N/A,2,Advisory strutturati per OT/ICS; alcuni in formato CSAF; copre vulnerabilità che NVD non ha o ritarda. Direttamente rilevante per macchinari OT venduti a Utility e Autostrade,15,€ 6.750,"10.775,00 €",8,Alto,Senior,Integration,CISA ICS-CERT RSS/CSAF (cisa.gov/ics),Repository normalizzato
37,M3,Vulnerability Intelligence Feed,Fonti Integrate,GitHub Advisory Database,Enterprise,Dubbio,Sì,"DT integra GitHub Advisory Database nativamente per npm, Maven, Go, PyPI, NuGet. Coperto dalla task DT 116",0,#VALUE!,,In,N/A,2,"Copertura aggiuntiva per ecosistemi specifici (npm, Maven, Go, ecc.)",8,€ 3.600,"6.465,00 €",4,Medio,Mid,Integration,GitHub Advisory API,Repository normalizzato
38,M3,Vulnerability Intelligence Feed,Fonti Integrate,CERT-EU Security Advisories,Nice-to-have,Nice-to-have,No,DT non integra CERT-EU; gli advisory hanno formato semi-strutturato HTML/PDF che richiede parser custom e processo di normalizzazione,10,#VALUE!,,In,N/A,2,"Rilevante per infrastrutture critiche UE; formato semi-strutturato, parsing necessario",10,€ 4.500,"3.448,00 €",5,Medio,Mid,Integration,CERT-EU feed (cert.europa.eu),Repository normalizzato
39,M3,Vulnerability Intelligence Feed,Fonti Integrate,ACN (Agenzia per la Cybersicurezza Nazionale) — advisory italiani,Nice-to-have,Nice-to-have,No,DT non integra ACN; i bulletin ACN sono spesso overlay di CERT-EU e richiedono parsing custom; aggiornamento frequentemente manuale,10,#VALUE!,,In,N/A,2,Rilevante per contesto italiano; spesso overlay di CERT-EU; processo spesso manuale,10,€ 4.500,"2.155,00 €",5,Medio,Mid,Integration,ACN feed (acn.gov.it),Repository normalizzato
40,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Repository interno normalizzato (fonte unica: NVD + OSV + KEV + ICS-CERT),Must-have,Must-have,Sì,"DT è il repository normalizzato: aggrega NVD, OSV, KEV, GitHub Advisory in un unico database interno queryable via API REST. Coperto dalle task DT 116-117",0,#VALUE!,,out,Sett 2026,0,"Normalizzare da tutte le fonti in un database interno unificato per scoring, alert e triage coerenti",20,€ 9.000,"6.465,00 €",10,Alto,Senior,Backend,NVD; OSV; CISA KEV,Tutte le fonti M3
41,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Matching CVE tramite PURL + CPE + alias (CVE/GHSA/OSV-ID),Must-have,Must-have,Sì,"DT fa matching tramite PURL (primario), CPE (secondario) e alias cross-database (CVE-ID, GHSA, OSV-ID) nativamente. Coperto dal layer DT, integrazione in task 117-118",0,#VALUE!,,out,Sett 2026,0,Identificatori strutturati riducono falsi positivi e duplicazioni rispetto al solo matching per nome,15,€ 6.750,"4.310,00 €",8,Alto,Senior,Backend,,Repository normalizzato; PURL/CPE obbligatori
42,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Flag CISA KEV su ogni CVE matchata nelle SBOM,Must-have,Must-have,Sì,DT espone il campo isKev su ogni vulnerabilità matchata nei progetti; aggiornato automaticamente. Coperto dalla task DT 116,0,#VALUE!,,In,Sett 2026,0,Trigger immediato per il processo di notifica 24h; flag visibile nel triage,5,€ 2.250,"4.310,00 €",3,Basso,Junior/Mid,Backend,CISA KEV feed,Repository normalizzato; Matching CVE
43,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Score di confidenza del match (alta/media/bassa confidenza),Enterprise,Dubbio,Parziale,DT non espone un campo 'confidence score' esplicito sul match; la confidenza va calcolata custom in base alla completezza di PURL/CPE e alla fonte del match (NVD vs. OSV vs. GHSA),5,#VALUE!,,In,N/A,2,Segnala componenti con matching incerto che richiedono revisione manuale prima di procedere,8,€ 3.600,"3.448,00 €",4,Medio,Mid/Senior,Backend,,Matching CVE
44,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,"EPSS score — probabilità exploit entro 30 giorni (FIRST.org API, gratuito)",Enterprise,Enterprise,Sì,DT integra EPSS nativo (DT v4+): ogni CVE ha lo score EPSS aggiornato periodicamente via FIRST.org API. Coperto dalla task DT 116,0,#VALUE!,,In,N/A,2,Prioritizzazione intelligente; de-prioritizza CVE con CVSS alto ma bassa probabilità reale di sfruttamento,8,€ 3.600,"2.155,00 €",4,Medio,Mid,Integration,FIRST.org EPSS API,Repository normalizzato
45,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Exploit availability tracking (PoC pubblici su GitHub/ExploitDB),Nice-to-have,Nice-to-have,No,DT non traccia disponibilità di exploit pubblici su GitHub/ExploitDB; va sviluppato come enrichment custom sul repository normalizzato,10,#VALUE!,,out,N/A,2,Ulteriore segnale di rischio reale oltre a EPSS e KEV,10,€ 4.500,"6.465,00 €",5,Medio,Mid,Integration,GitHub API; ExploitDB,Matching CVE
46,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,End-of-support tracking componenti (EoS senza CVE associata),Enterprise,Dubbio,No,DT non traccia date di fine supporto upstream dei componenti; il monitoraggio EoS va sviluppato custom con alimentazione da sorgenti come endoflife.date API,10,#VALUE!,,out,N/A,2,Un componente senza supporto upstream è vulnerabilità CRA anche in assenza di CVE specifiche,10,€ 4.500,"3.448,00 €",5,Medio,Mid,Backend,,Ciclo di vita prodotto (M1)
47,M4,Risk Assessment e Triage,Impact Analysis,Impact analysis automatica: CVE → componenti matchati → prodotti → clienti installati,Must-have,Must-have,Parziale,DT fa CVE→componenti→SBOM: identifica quali progetti contengono componenti vulnerabili e con quale severity. Il layer SBOM→prodotti commercializzati→clienti installati è completamente custom (DT non conosce clienti),15,#VALUE!,,out,Sett 2026,1,Funzionalità operativamente più critica; risponde a 'chi avverto e con quale urgenza?',20,€ 9.000,"4.310,00 €",10,Alto,Senior,Backend,,Installed base; Repository normalizzato; Matching CVE
48,M4,Risk Assessment e Triage,Impact Analysis,Lista prioritizzata: cliente × prodotto × versione × severità × contatto notifica,Must-have,Must-have,No,DT non ha il concetto di cliente; la lista prioritizzata cliente × prodotto × versione × severità × contatto è sviluppo completamente custom sul layer M1 (installed base),10,#VALUE!,,out,Sett 2026,1,Output diretto per il workflow di notifica; alimenta il sub-workflow A e B di M5,10,€ 4.500,"4.310,00 €",5,Medio,Mid,Full-stack,,Impact analysis automatica
49,M4,Risk Assessment e Triage,Impact Analysis,Propagazione automatica su libreria componenti condivisa cross-prodotto,Enterprise,Enterprise,Sì,"DT component library: una vulnerabilità su un componente condiviso propaga automaticamente l'analisi a tutti i progetti che lo contengono, senza sviluppo aggiuntivo",0,#VALUE!,,In,N/A,2,Una vulnerabilità su componente shared propaga l'analisi a tutti i prodotti che lo contengono,10,€ 4.500,"8.620,00 €",5,Alto,Senior,Backend,,Libreria componenti condivisa; Impact analysis automatica
50,M4,Risk Assessment e Triage,Impact Analysis,Prioritizzazione per criticità del cliente (NIS2/infrastruttura critica = priorità più alta),Enterprise,Dubbio,No,DT non ha concetto di criticità cliente (NIS2/infrastruttura critica); la logica di prioritizzazione per tipo cliente è business logic custom,8,#VALUE!,,In,N/A,2,Rilevante per clienti come Autostrade dove l'impatto di un incidente è sistemico,8,€ 3.600,"6.465,00 €",4,Medio,Mid,Backend,,Anagrafica clienti; Impact analysis automatica
51,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Coda di triage con stati: new / under_investigation / vex_assessed / notification_required / patch_available / closed,Must-have,Must-have,Parziale,"DT ha stati di analysis (NOT_AFFECTED, IN_TRIAGE, AFFECTED, RESOLVED, FALSE_POSITIVE) ma non corrispondono agli stati normativi CRA. Serve mappatura o estensione con stati proprietari e relative transizioni",10,#VALUE!,,In,Sett 2026,2,Il CRA richiede un processo continuo e documentato di gestione delle vulnerabilità,15,€ 6.750,"2.155,00 €",8,Medio,Mid/Senior,Full-stack,,Impact analysis automatica
52,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Assegnazione owner e tracking del responsabile per ogni voce di triage,Must-have,Must-have,Parziale,"DT ha assegnazione base sull'analysis ma il tracking strutturato con owner, storico escalation, change log e notifiche di cambio stato è limitato; va esteso",5,#VALUE!,,out,Sett 2026,2,Governance e prova di processo organizzato per audit regolatorio,8,€ 3.600,"3.448,00 €",4,Basso,Junior/Mid,Full-stack,,Coda di triage
53,M4,Risk Assessment e Triage,Coda di Triage e Scoring,"Timer SLA visibili: 24h da scoperta (se KEV), 72h per notifica formale",Must-have,Must-have,No,DT non ha SLA timer normativi; i countdown 24h/72h CRA con alert di scadenza e storico delle scadenze rispettate/mancate sono logica custom da implementare,10,#VALUE!,,In,Sett 2026,1,Supporto operativo diretto ai deadline normativi Art. 14 CRA; countdown visibile nel triage,10,€ 4.500,"3.448,00 €",5,Medio,Mid/Senior,Full-stack,,Coda di triage; Flag KEV
54,M4,Risk Assessment e Triage,Coda di Triage e Scoring,CVSS base score da NVD — visualizzazione per ogni vulnerabilità,Basic,Basic,Sì,"DT mostra CVSS v2, v3 e v4 per ogni vulnerabilità direttamente dall'NVD. Coperto dall'integrazione DT, nessun sviluppo aggiuntivo",0,#VALUE!,,out,Sett 2026,2,Standard di scoring; incluso in ogni CVE NVD; base minima per qualsiasi triage,3,€ 1.350,"4.310,00 €",2,Basso,Junior,Frontend,NVD API,Repository normalizzato
55,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Risk score composito: CVSS + EPSS + flag KEV,Enterprise,Dubbio,Parziale,"DT espone CVSS, EPSS e flag KEV separatamente via API; il calcolo del risk score composito ponderato (es. CVSS×0.4 + EPSS×0.4 + KEV×0.2) è logica custom da definire e implementare",5,#VALUE!,,out,N/A,2,Prioritizzazione intelligente che supera i limiti del solo CVSS nella coda di triage,10,€ 4.500,"4.310,00 €",5,Alto,Senior,Backend,FIRST.org EPSS API,CVSS; EPSS; Flag KEV
56,M4,Risk Assessment e Triage,Coda di Triage e Scoring,VEX assessment workflow con giustificazione documentata,Must-have,Must-have,Parziale,DT ha gli stati VEX ma il workflow con giustificazione obbligatoria documentata è la stessa estensione del punto #29; il contesto qui è la coda triage M4 anziché la scheda componente M2,5,#VALUE!,,In,Sett 2026,1,La giustificazione è l'evidenza normativa chiave per dimostrare analisi del rischio contestuale,10,€ 4.500,"8.620,00 €",5,Medio,Mid/Senior,Full-stack,,Supporto VEX stati (M2); Coda di triage
57,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Scoring contestualizzato per deployment type (internet-exposed vs. rete interna),Nice-to-have,Dubbio,No,DT non ha metadati sul deployment type (internet-exposed vs. rete isolata); il contextual scoring che abbassa o alza il rischio in base al contesto di installazione è logica custom,12,#VALUE!,,In,N/A,2,Affina il risk score in base al contesto di deployment; richiede metadati aggiuntivi sull'installazione,12,€ 5.400,"4.310,00 €",6,Alto,Senior,Backend,,Risk score composito; Installed base
