ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope,details
12,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Storico completo delle comunicazioni per cliente,Enterprise,Dubbio,"- Visualizzazione cronologica di tutte le comunicazioni di sicurezza inviate al cliente
- Filtraggio per data, tipo comunicazione, prodotto
- Accesso al contenuto di ogni comunicazione storica
- Esportazione storico comunicazioni per cliente"
13,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,"Canali di notifica per cliente (email, referente tecnico, referente sicurezza)",Must-have,Dubbio,"- Configurazione indirizzi email per ogni cliente (referente tecnico e referente sicurezza)
- Test di invio per verificare raggiungibilità del canale
- Modifica e storico dei canali configurati
- Abilitazione/disabilitazione canali per tipologia di notifica"
15,M2,Gestione SBOM,Acquisizione SBOM,Import SBOM da file CycloneDX (formato primario),Basic,Basic,"- Upload file SBOM in formato CycloneDX (XML o JSON)
- Visualizzazione esito validazione con dettaglio errori
- Elenco componenti importati con dettagli (nome, versione, PURL, CPE)
- Associazione SBOM importata a una versione prodotto"
16,M2,Gestione SBOM,Acquisizione SBOM,Inserimento manuale componenti con form strutturato,Basic,Basic,"- Form strutturato per aggiunta componente: nome, versione, PURL, CPE, tipo
- Modifica di componenti esistenti
- Eliminazione componenti con tracciamento in audit log
- Validazione in linea dei campi obbligatori (PURL o CPE)"
17,M2,Gestione SBOM,Acquisizione SBOM,Modalità ibrida: import scanner + delta manuale (ogni modifica tracciata come delta separato),Basic,Basic,"- Import base da scanner (CycloneDX)
- Aggiunta componenti delta manualmente sull'SBOM importata
- Ogni modifica manuale tracciata come delta separato con autore e timestamp
- Visualizzazione diff: scanner vs delta manuale"
19,M2,Gestione SBOM,Acquisizione SBOM,"Validazione formato in ingresso (PURL, range di versione)",Basic,Basic,"- Validazione formato PURL su ogni componente in importazione
- Validazione range di versione (semver)
- Segnalazione errori in linea durante l'import
- Blocco importazione se campi obbligatori mancanti o malformati
- Report riepilogativo validazione dopo ogni import"
20,M2,Gestione SBOM,Acquisizione SBOM,PURL e/o CPE obbligatori per tutti i componenti,Must-have,Must-have,"- Blocco operazioni SBOM per componenti privi di PURL o CPE
- Evidenziazione componenti non conformi nella lista componenti
- Report di coverage PURL/CPE per ogni SBOM
- Workflow di correzione: assegnazione PURL/CPE mancanti"
21,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Versioning automatico SBOM a ogni modifica (major/minor/patch),Must-have,Must-have,"- Incremento automatico versione SBOM (major/minor/patch) ad ogni modifica
- Visualizzazione cronologia versioni con autore e timestamp
- Accesso al contenuto di versioni precedenti (read-only)
- Ripristino a versione precedente (solo per SBOM non frozen)"
22,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Freeze SBOM per versioni di prodotto rilasciate (immutabilità con annotazione),Must-have,Must-have,"- Azione ""Freeze SBOM"" con inserimento obbligatorio di nota di annotazione
- Blocco di qualsiasi modifica su SBOM frozen (enforced a livello DB)
- Indicazione visiva dello stato frozen nella lista SBOM
- Visualizzazione data freeze e utente che ha eseguito il freeze"
23,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Diff tra versioni SBOM (componenti aggiunti/rimossi/aggiornati),Enterprise,Dubbio,"- Selezione di due versioni SBOM da confrontare
- Visualizzazione componenti aggiunti, rimossi, aggiornati
- Evidenziazione variazioni di PURL/CPE/versione
- Esportazione diff in formato strutturato (CSV/JSON)"
24,M2,Gestione SBOM,Versioning e Ciclo di Vita SBOM,Libreria componenti condivisa cross-prodotto,Enterprise,Enterprise,"- Visualizzazione di tutti i componenti condivisi tra più prodotti
- Navigazione dalla libreria condivisa ai prodotti che usano ogni componente
- Propagazione automatica di finding di vulnerabilità a tutti i prodotti che usano il componente
- Gestione versioni del componente condiviso"
25,M2,Gestione SBOM,Architettura SBOM Tri-Livello,Build-time: integrazione CI/CD per generazione SBOM automatica a ogni build (Syft/Trivy),Enterprise,Dubbio,"- Configurazione integrazione con pipeline CI/CD (webhook o API key)
- Upload automatico SBOM generata a ogni build
- Visualizzazione cronologia SBOM generate per build (con commit SHA associato)
- Alert in caso di mancato upload da pipeline"
26,M2,Gestione SBOM,Architettura SBOM Tri-Livello,Deploy-time: raccolta SBOM al momento dell'installazione o collaudo del macchinario,Enterprise,Dubbio,"- Registrazione SBOM al momento dell'installazione o collaudo del macchinario
- Associazione SBOM di deploy all'entry dell'installed base
- Visualizzazione diff tra SBOM build-time e SBOM deploy-time
- Hash dell'SBOM di deploy per verifica integrità"
28,M2,Gestione SBOM,VEX e Qualità del Dato,Supporto VEX: stati not_affected / affected / fixed / under_investigation,Must-have,Must-have,"- Impostazione stato VEX per ogni coppia CVE × componente (not_affected / affected / fixed / under_investigation)
- Visualizzazione riepilogo stati VEX per ogni SBOM
- Filtraggio componenti per stato VEX
- Modifica stato VEX con registrazione in audit log"
29,M2,Gestione SBOM,VEX e Qualità del Dato,Workflow VEX con giustificazione obbligatoria per stato 'not_affected',Must-have,Must-have,"- Selezione obbligatoria tipo giustificazione per stato not_affected (code_not_present / code_not_reachable / requires_configuration / requires_environment)
- Inserimento testo di giustificazione libero
- Workflow di approvazione a due livelli: Analyst (bozza) → SecurityManager (approvazione)
- Notifica al SecurityManager per approvazioni in sospeso
- Visualizzazione storico approvazioni per ogni assessment VEX"
30,M2,Gestione SBOM,VEX e Qualità del Dato,Export VEX integrato nel CycloneDX output,Must-have,Must-have,"- Esportazione SBOM CycloneDX con VEX integrato
- Download documento VEX standalone
- Inclusione di tutti gli stati VEX approvati nell'export
- Selezione versione SBOM da esportare"
33,M3,Vulnerability Intelligence Feed,Fonti Integrate,NVD (NIST) — CVE API 2.0,Must-have,Must-have,"- Visualizzazione CVE provenienti da NVD nel repository interno
- Stato sincronizzazione e timestamp ultimo aggiornamento
- Configurazione API key NVD in impostazioni di sistema
- Alert in caso di interruzione sincronizzazione"
34,M3,Vulnerability Intelligence Feed,Fonti Integrate,OSV.dev (Google) — vulnerabilità open source,Must-have,Must-have,"- Visualizzazione vulnerabilità OSV nel repository interno
- Filtraggio per ecosystem (npm, PyPI, Maven, Go, ecc.)
- Stato sincronizzazione e timestamp ultimo aggiornamento
- Navigazione da CVE a record OSV originale"
35,M3,Vulnerability Intelligence Feed,Fonti Integrate,CISA KEV (Known Exploited Vulnerabilities),Must-have,Must-have,"- Visualizzazione entry KEV nel repository interno
- Stato sincronizzazione e data ultimo aggiornamento CISA
- Visualizzazione data aggiunta al KEV per ogni CVE
- Alert immediato quando nuova CVE aggiunta al KEV"
36,M3,Vulnerability Intelligence Feed,Fonti Integrate,CISA ICS-CERT Advisories (sistemi di controllo industriale OT/SCADA/PLC/HMI),Enterprise,Dubbio,"- Visualizzazione advisory ICS-CERT nel repository interno
- Filtraggio per tag OT/SCADA/PLC/HMI
- Stato sincronizzazione e timestamp ultimo aggiornamento
- Navigazione dal repository all'advisory originale CISA"
37,M3,Vulnerability Intelligence Feed,Fonti Integrate,GitHub Advisory Database,Enterprise,Dubbio,"- Visualizzazione advisory GitHub nel repository interno
- Filtraggio per ecosystem
- Stato sincronizzazione e timestamp ultimo aggiornamento
- Navigazione dal repository al record GitHub originale"
40,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Repository interno normalizzato (fonte unica: NVD + OSV + KEV + ICS-CERT),Must-have,Must-have,"- Ricerca unificata su tutte le fonti (NVD, OSV, KEV, ICS-CERT)
- Filtraggio per sorgente, severità, data, tipo sistema
- Visualizzazione attributo sorgente per ogni record CVE
- Deduplica automatica di CVE presenti su più sorgenti"
41,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Matching CVE tramite PURL + CPE + alias (CVE/GHSA/OSV-ID),Must-have,Must-have,"- Visualizzazione CVE matchate per ogni componente SBOM
- Indicazione del metodo di match (PURL / CPE / alias CVE/GHSA/OSV-ID)
- Visualizzazione di tutti gli alias per ogni vulnerabilità
- Aggiunta match manuale per casi non risolti automaticamente"
42,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Flag CISA KEV su ogni CVE matchata nelle SBOM,Must-have,Must-have,"- Visualizzazione flag KEV accanto a ogni CVE matchata nelle SBOM
- Filtraggio vulnerabilità per stato KEV (presente/assente)
- Alert quando flag KEV aggiunto a CVE già nota
- Conteggio CVE KEV per prodotto nella dashboard"
43,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,Score di confidenza del match (alta/media/bassa confidenza),Enterprise,Dubbio,"- Visualizzazione livello di confidenza (alta/media/bassa) per ogni match
- Filtraggio per livello di confidenza
- Segnalazione match a bassa confidenza per revisione manuale
- Workflow di conferma/rigetto del match da parte dell'analista"
44,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,"EPSS score — probabilità exploit entro 30 giorni (FIRST.org API, gratuito)",Enterprise,Enterprise,"- Visualizzazione EPSS score per ogni CVE (probabilità exploit a 30 giorni)
- Trend storico EPSS per CVE nel tempo
- Filtraggio vulnerabilità per soglia EPSS
- Ordinamento coda triage per EPSS score"
46,M3,Vulnerability Intelligence Feed,Matching e Arricchimento,End-of-support tracking componenti (EoS senza CVE associata),Enterprise,Dubbio,"- Visualizzazione componenti con supporto scaduto (EoS) nelle SBOM
- Data EoS per ogni componente tracciato
- Alert per componenti EoS senza CVE associata
- Navigazione al dettaglio componente con storico EoS"
47,M4,Risk Assessment e Triage,Impact Analysis,Impact analysis automatica: CVE → componenti matchati → prodotti → clienti installati,Must-have,Must-have,"- Avvio automatico impact analysis su nuova CVE matchata
- Visualizzazione catena: CVE → componenti matchati → versioni prodotto → clienti installati
- Navigazione interattiva lungo la catena di impatto
- Esportazione report impact analysis in formato strutturato
- Performance: analisi completata in <30 secondi per 5.000 installazioni"
48,M4,Risk Assessment e Triage,Impact Analysis,Lista prioritizzata: cliente × prodotto × versione × severità × contatto notifica,Must-have,Must-have,"- Visualizzazione lista prioritizzata: cliente × prodotto × versione × severità × contatto
- Ordinamento per severità CVE e criticità NIS2 cliente
- Selezione subset per invio notifica
- Esportazione lista con dettagli contatti"
49,M4,Risk Assessment e Triage,Impact Analysis,Propagazione automatica su libreria componenti condivisa cross-prodotto,Enterprise,Enterprise,"- Propagazione automatica impact analysis a tutti i prodotti che usano un componente condiviso
- Visualizzazione elenco prodotti impattati da componente condiviso
- Azione di conferma propagazione da parte dell'analista
- Esclusione manuale di prodotti dalla propagazione con motivazione"
50,M4,Risk Assessment e Triage,Impact Analysis,Prioritizzazione per criticità del cliente (NIS2/infrastruttura critica = priorità più alta),Enterprise,Dubbio,"- Tag NIS2 / infrastruttura critica visibile in coda triage e lista notifiche
- Ordinamento automatico: clienti NIS2 in testa alla coda
- Filtraggio notifiche da inviare per priorità NIS2
- Report separato per clienti NIS2 impattati"
51,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Coda di triage con stati: new / under_investigation / vex_assessed / notification_required / patch_available / closed,Must-have,Must-have,"- Visualizzazione coda triage con tutti gli stati (new / under_investigation / vex_assessed / notification_required / patch_available / closed)
- Transizione di stato con validazione dei prerequisiti
- Filtraggio coda per stato, severità, prodotto, owner
- Ordinamento per SLA rimanente"
52,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Assegnazione owner e tracking del responsabile per ogni voce di triage,Must-have,Must-have,"- Assegnazione owner a ogni voce di triage
- Visualizzazione coda personale per ogni analista
- Notifica all'utente quando assegnato come owner
- Riepilogo carico di lavoro per owner"
53,M4,Risk Assessment e Triage,Coda di Triage e Scoring,"Timer SLA visibili: 24h da scoperta (se KEV), 72h per notifica formale",Must-have,Must-have,"- Countdown visibile nella coda triage per ogni SLA attivo (24h e 72h)
- Indicatore cromatico: verde (>50%) / arancio (25-50%) / rosso (<25%)
- Alert push quando SLA a meno di X ore dalla scadenza
- Log automatico SLA rispettato/non rispettato a scadenza"
54,M4,Risk Assessment e Triage,Coda di Triage e Scoring,CVSS base score da NVD — visualizzazione per ogni vulnerabilità,Basic,Basic,"- Visualizzazione CVSS base score per ogni vulnerabilità nella coda triage
- Visualizzazione vettore CVSS completo
- Ordinamento e filtraggio coda per CVSS score
- Link al record NVD per approfondimento"
55,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Risk score composito: CVSS + EPSS + flag KEV,Enterprise,Dubbio,"- Visualizzazione score composito per ogni vulnerabilità: CVSS×0,40 + EPSS×0,40 + KEV_flag×0,20
- Visualizzazione breakdown dello score (contributo di ogni componente)
- Ordinamento coda triage per score composito
- Soglie di rischio configurabili (critico/alto/medio/basso)"
56,M4,Risk Assessment e Triage,Coda di Triage e Scoring,VEX assessment workflow con giustificazione documentata,Must-have,Must-have,"- Avvio workflow VEX assessment dalla coda triage
- Documentazione assessment con tipo e testo di giustificazione
- Approvazione/rifiuto assessment da parte del SecurityManager
- Visualizzazione storico assessment per ogni CVE × componente"
58,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Remediation plan con data prevista e milestone,Must-have,Dubbio,"- Creazione remediation plan per ogni voce di triage
- Impostazione data prevista risoluzione e milestone intermedie
- Tracking avanzamento remediation
- Collegamento al piano di rilascio patch"
59,M4,Risk Assessment e Triage,Coda di Triage e Scoring,Tracking disponibilità patch dal vendor del componente vulnerabile,Enterprise,Dubbio,"- Registrazione stato disponibilità patch dal vendor del componente (disponibile / in attesa / non prevista)
- Data prevista disponibilità patch
- Alert quando patch diventa disponibile
- Collegamento al bollettino del vendor"
60,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,Trigger automatico: rilevamento CVE in CISA KEV su prodotto commercializzato,Must-have,Must-have,"- Rilevamento automatico nuova CVE KEV su prodotto in campo
- Generazione bozza notifica Early Warning 24h
- Alert urgente al team sicurezza interno (email + in-app)
- Avvio automatico conto alla rovescia SLA 24h"
61,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,"Early Warning 24h: template pre-compilato per ACN (prodotto, CVE, stima impatto)",Must-have,Must-have,"- Generazione template pre-compilato con: prodotto, CVE, stima impatto
- Modifica del template prima dell'invio
- Invio e registrazione nella timeline regolatorio
- Conferma invio con timestamp immutabile in audit log"
62,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,"Notifica Formale 72h: report strutturato (componente SBOM, CVSS, clienti impattati, piano remediation)",Must-have,Must-have,"- Generazione report strutturato: componente SBOM, CVSS, clienti impattati, piano remediation
- Revisione e approvazione interna prima dell'invio
- Invio e registrazione nella timeline regolatorio
- Allegati: SBOM estratto e lista clienti impattati"
63,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,"Report Finale 14 giorni: azioni intraprese, patch rilasciata/programmata, esito",Must-have,Must-have,"- Generazione report finale: azioni intraprese, stato patch, esito complessivo
- Revisione e approvazione interna
- Invio e registrazione nella timeline regolatorio
- Chiusura del ciclo di notifica con stato finale"
64,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,Audit trail comunicazioni ENISA/ACN (registro immutabile di tutte le segnalazioni),Must-have,Must-have,"- Visualizzazione registro immutabile di tutte le notifiche regolatorie inviate
- Filtraggio per tipo notifica, data, prodotto, CVE
- Esportazione registro per audit esterno
- Impossibilità di modifica o cancellazione dei record"
65,M5,Notifica e Disclosure Workflow,Sub-workflow A — Notifica ENISA/ACN,Distinzione chiara tra reporting regolatorio e gestione interna vulnerabilità,Must-have,Must-have,"- Sezione UI dedicata al flusso regolatorio (ENISA/ACN) separata dalla gestione triage interna
- Protezione dei record regolatori da modifiche
- Dashboard stato notifiche regolatorie separata da dashboard operativa
- Navigazione chiara tra contesto regolatorio e contesto operativo interno"
67,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,Email notification ai clienti B2B impattati (lista da impact analysis),Basic,Dubbio,"- Invio email ai clienti nella lista di impact analysis
- Visualizzazione stato invio (inviato/fallito/in coda) per ogni destinatario
- Reinvio manuale in caso di fallimento
- Log automatico di ogni email inviata"
68,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,"Template email parametrici (cliente, prodotto, versione, CVE, gravità, azioni raccomandate)",Basic,Dubbio,"- Selezione template email per tipo notifica
- Auto-compilazione campi variabili (cliente, prodotto, versione, CVE, gravità, azioni raccomandate)
- Anteprima email prima dell'invio
- Modifica del template compilato prima dell'invio"
69,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,"Tipologia: advisory informativo (vulnerabilità nota, nessuna azione immediata richiesta)",Enterprise,Dubbio,"- Selezione template ""advisory informativo"" per vulnerabilità non critiche
- Personalizzazione messaggio con dettagli CVE e indicazione ""nessuna azione immediata richiesta""
- Invio e log con tipo advisory_informativo"
70,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,Tipologia: richiesta intervento da remoto (patch applicabile da remoto),Enterprise,Dubbio,"- Selezione template ""intervento remoto"" per patch applicabile da remoto
- Inclusione istruzioni di patching nel corpo email
- Tracking risposta cliente (pianificato / confermato / rinviato)"
71,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,Tipologia: piano aggiornamento programmato (intervento richiede presenza in loco),Enterprise,Dubbio,"- Selezione template ""aggiornamento programmato"" per interventi in loco
- Inclusione richiesta pianificazione maintenance window
- Tracking conferma finestra di intervento da parte del cliente"
72,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,"Tipologia: blocco immediato funzione critica (vulnerabilità sfruttata attivamente, rischio immediato)",Enterprise,Enterprise,"- Selezione template ""blocco emergenziale"" per vulnerabilità sfruttate attivamente
- Inclusione istruzioni immediate di contenimento
- Richiesta acknowledgment urgente (entro X ore)
- Escalation automatica se ack non ricevuto entro soglia"
73,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,Approvazione interna pre-invio comunicazione (1 o 2 livelli configurabili),Enterprise,Dubbio,"- Routing comunicazione per approvazione (1 o 2 livelli configurabili)
- Notifica all'approvatore con link diretto alla bozza
- Approvazione o rifiuto con commento
- Invio automatico dopo approvazione finale
- Timeout con escalation se approvazione non data entro X ore"
74,M5,Notifica e Disclosure Workflow,Sub-workflow B — Notifica Clienti B2B,Tracking invio + acknowledgment cliente (link di conferma lettura),Enterprise,Dubbio,"- Visualizzazione stato invio per ogni destinatario (inviato / consegnato / letto / ack ricevuto)
- Link di conferma lettura incluso nell'email cliente
- Alert se ack non ricevuto dopo X ore
- Invio reminder automatico al cliente"
76,M5,Notifica e Disclosure Workflow,Patch Campaign Management,Creazione campagna di remediation su installed base,Enterprise,Enterprise,"- Creazione campagna collegata a CVE e versioni prodotto impattate
- Assegnazione clienti alla campagna
- Tracking avanzamento campagna per cliente (non iniziato / in corso / completato)
- Dashboard campagna con % completamento"
77,M5,Notifica e Disclosure Workflow,Patch Campaign Management,Gestione finestre di intervento (maintenance windows) per clienti in siti produttivi,Enterprise,Dubbio,"- Definizione finestre di manutenzione per cliente/sede (data, orario, durata)
- Pianificazione interventi di patch all'interno delle finestre disponibili
- Alert in caso di conflitti tra finestre e campagne attive
- Notifica al cliente della finestra pianificata"
78,M5,Notifica e Disclosure Workflow,Patch Campaign Management,"Gestione dipendenze campagna: release, cliente, disponibilità assistenza tecnica",Enterprise,Dubbio,"- Definizione dipendenze tra step campagna (release → cliente → disponibilità assistenza)
- Blocco automatico step successivi se dipendenze non risolte
- Visualizzazione stato dipendenze per ogni step
- Override manuale di una dipendenza con motivazione"
79,M5,Notifica e Disclosure Workflow,Patch Campaign Management,Tracciamento adozione patch per cliente/prodotto/versione,Enterprise,Enterprise,"- Aggiornamento stato patch per ogni entry installed base (non applicata / in corso / applicata)
- Dashboard tasso di adozione patch per prodotto/versione
- Esportazione report adozione patch per cliente
- Alert per installazioni ad alto rischio con patch non applicata dopo X giorni"
81,M6,"Audit Trail, Alert e Compliance Evidence",Audit Trail,"Audit log immutabile, append-only, con timestamp",Must-have,Must-have,"- Tutte le azioni di sistema registrate automaticamente senza possibilità di modifica o cancellazione
- Visualizzazione log con timestamp, utente, azione, oggetto
- Ricerca nel log per utente, tipo azione, periodo
- Notifica in caso di tentativo di accesso o modifica non autorizzata"
82,M6,"Audit Trail, Alert e Compliance Evidence",Audit Trail,"Log include: chi, cosa, quando, su quale oggetto (granularità per campo)",Must-have,Must-have,"- Registrazione dettaglio a livello di campo: valore precedente → valore nuovo
- Filtraggio log per utente, tipo azione, oggetto specifico
- Ricerca fulltext nel log
- Navigazione dall'entry di log all'oggetto modificato"
83,M6,"Audit Trail, Alert e Compliance Evidence",Audit Trail,"Export audit log per verifiche esterne (ACN, organismo notificato)",Must-have,Dubbio,"- Selezione intervallo temporale per l'export
- Esportazione log firmato digitalmente (SHA-256)
- Download in formato CSV o JSON
- Verifica integrità della firma al momento del download"
85,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: nuove CVE che matchano componenti nelle SBOM,Must-have,Must-have,"- Notifica in-app per ogni nuova CVE matchata su componenti SBOM
- Dettaglio componente impattato e prodotto associato
- Navigazione all'entry di triage dalla notifica
- Configurazione soglia severity minima per ricevere alert"
86,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: nuove entry nel CISA KEV che matchano prodotti commercializzati,Must-have,Must-have,"- Alert urgente per ogni nuova entry KEV che matcha un prodotto commercializzato
- Visualizzazione: prodotto/versione impattati, numero installazioni, contatti prioritari
- Navigazione diretta al workflow 24h dalla notifica
- Notifica via email al team sicurezza in aggiunta all'alert in-app"
87,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: variazioni di CVSS/severity su CVE già note,Must-have,Must-have,"- Notifica quando CVSS di CVE già nota aumenta di categoria (es. medium → high)
- Visualizzazione vecchio vs nuovo valore di severity
- Ri-valutazione automatica priorità triage
- Log della variazione in audit trail"
88,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: SLA triage in scadenza (timer 24h/72h prossimi alla scadenza),Must-have,Must-have,"- Alert quando SLA a meno di X ore dalla scadenza (configurabile: es. 4h, 2h, 30min)
- Lista delle voci di triage con SLA in scadenza
- Navigazione diretta alla voce dalla notifica
- Escalation automatica al manager se SLA violato"
89,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: clienti critici non ancora notificati dopo X ore,Enterprise,Dubbio,"- Alert quando clienti NIS2/critici non ancora notificati dopo X ore dalla scoperta
- Lista clienti critici non notificati con dettaglio prodotto/CVE
- Navigazione al workflow notifica dalla lista
- Configurazione soglia X ore"
90,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: patch non applicate su installazioni ad alto rischio dopo X giorni,Enterprise,Dubbio,"- Alert per installazioni con CVE critica e patch non applicata dopo X giorni
- Lista installazioni in overdue per patch
- Navigazione alla campagna di remediation associata
- Configurazione soglia X giorni per tipologia di rischio"
91,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: vulnerabilità senza fix disponibile da fornitore del componente,Enterprise,Dubbio,"- Alert per CVE aperte senza patch disponibile dal vendor oltre soglia temporale
- Lista componenti senza fix disponibile
- Navigazione al record di triage per aggiunta nota di mitigazione
- Esportazione lista per report a management"
92,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,Alert: componente con supporto scaduto (EoS) senza CVE associata,Enterprise,Dubbio,"- Alert per componenti con supporto scaduto nelle SBOM attive
- Visualizzazione data EoS e prodotti impattati
- Navigazione al dettaglio componente per avvio azione di remediation
- Generazione automatica entry triage per componente EoS"
93,M6,"Audit Trail, Alert e Compliance Evidence",Sistema di Alert,"Webhook verso sistemi ITSM/ticketing (Jira, ServiceNow, Azure DevOps)",Enterprise,Dubbio,"- Configurazione endpoint webhook (Jira / ServiceNow / Azure DevOps)
- Mapping tipi di alert a eventi webhook
- Test di invio webhook con payload di esempio
- Visualizzazione log consegna webhook con stato HTTP
- Retry automatico in caso di fallimento"
